"Presidential General Election Returns by County, National Summary (2000)"
"Generated from CQ Press U.S. Political Stats Database, January 14, 2016"
,
,
State,County,"Winning Party","Dem. Candidate (2000)","Dem. Votes","Dem. %","Rep. Candidate (2000)","Rep. Votes","Rep. %","Highest Other (2000)","Other Votes","Other %"
MA,BARNSTABLE,D,"Gore, Albert",62363,51.5,"Bush, George",49686,41,"Nader, Ralph",7976,6.6
MA,BERKSHIRE,D,"Gore, Albert",37934,63.9,"Bush, George",15805,26.6,"Nader, Ralph",4472,7.5
MA,BRISTOL,D,"Gore, Albert",136325,64.5,"Bush, George",62848,29.7,"Nader, Ralph",9554,4.5
MA,DUKES,D,"Gore, Albert",5474,61.8,"Bush, George",2315,26.1,"Nader, Ralph",983,11.1
MA,ESSEX,D,"Gore, Albert",178400,57.5,"Bush, George",110010,35.4,"Nader, Ralph",17955,5.8
MA,FRANKLIN,D,"Gore, Albert",17945,53.8,"Bush, George",10176,30.5,"Nader, Ralph",4627,13.9
MA,HAMPDEN,D,"Gore, Albert",100103,58.2,"Bush, George",59558,34.6,"Nader, Ralph",10326,6
MA,HAMPSHIRE,D,"Gore, Albert",38543,56.2,"Bush, George",19202,28,"Nader, Ralph",10010,14.6
MA,MIDDLESEX,D,"Gore, Albert",404043,61.5,"Bush, George",198914,30.3,"Nader, Ralph",45529,6.9
MA,NANTUCKET,D,"Gore, Albert",2874,58.3,"Bush, George",1624,33,"Nader, Ralph",378,7.7
MA,NORFOLK,D,"Gore, Albert",188450,59.4,"Bush, George",107033,33.7,"Nader, Ralph",17505,5.5
MA,PLYMOUTH,D,"Gore, Albert",115376,54.5,"Bush, George",82751,39.1,"Nader, Ralph",11021,5.2
MA,SUFFOLK,D,"Gore, Albert",154888,71.4,"Bush, George",44441,20.5,"Nader, Ralph",15051,6.9
MA,WORCESTER,D,"Gore, Albert",173769,56,"Bush, George",114139,36.8,"Nader, Ralph",18177,5.9
CT,FAIRFIELD,D,"Gore, Albert",193769,52.3,"Bush, George",159659,43.1,"Nader, Ralph",12664,3.4
CT,HARTFORD,D,"Gore, Albert",221167,60.2,"Bush, George",127468,34.7,"Nader, Ralph",14214,3.9
CT,LITCHFIELD,D,"Gore, Albert",41806,47.9,"Bush, George",39172,44.9,"Nader, Ralph",5413,6.2
CT,MIDDLESEX,D,"Gore, Albert",43319,55.9,"Bush, George",29295,37.8,"Nader, Ralph",4039,5.2
CT,"NEW HAVEN",D,"Gore, Albert",197928,58,"Bush, George",122919,36,"Nader, Ralph",15567,4.6
CT,"NEW LONDON",D,"Gore, Albert",60449,55.4,"Bush, George",41168,37.7,"Nader, Ralph",6218,5.7
CT,TOLLAND,D,"Gore, Albert",33554,53.5,"Bush, George",24705,39.4,"Nader, Ralph",3711,5.9
CT,WINDHAM,D,"Gore, Albert",24023,54.6,"Bush, George",16708,38,"Nader, Ralph",2626,6
PA,ADAMS,R,"Gore, Albert",11682,34.9,"Bush, George",20848,62.4,"Nader, Ralph",696,2.1
PA,ALLEGHENY,D,"Gore, Albert",329963,56.6,"Bush, George",235361,40.4,"Nader, Ralph",10575,1.8
PA,ARMSTRONG,R,"Gore, Albert",11127,40.6,"Bush, George",15508,56.6,"Nader, Ralph",485,1.8
PA,BEAVER,D,"Gore, Albert",38925,52.9,"Bush, George",32491,44.1,"Nader, Ralph",1450,2
PA,BEDFORD,R,"Gore, Albert",5474,28.2,"Bush, George",13598,70,"Nader, Ralph",265,1.4
